Accession,Substrate,Coords,Notes,Lat,Long,More_Notes
AJ293770,bark,NA,,NA,NA,
AJ293771,bark,NA,,NA,NA,
AJ293772,bark,NA,,NA,NA,
AJ293773,concrete wall,NA,,NA,NA,
AJ293774,bark,NA,,NA,NA,
AJ293775,bark,NA,,NA,NA,
AJ293776,bark,NA,,NA,NA,
AJ293777,bark,NA,,NA,NA,
AJ293778,bark,NA,,NA,NA,
AJ293779,bark,NA,,NA,NA,
AJ293780,pebbles ,"42°44'N, 10°23' E",,42.7333333,10.3833333,LL from Helms (2003)
AJ293781,rocks,"42°44'N, 10°25'E ",this was listed in Helms et al. (2001) as AJ2937821,42.7333333,10.4166667,LL from Helms (2003)
AJ293782,limestone slate,NA,,NA,NA,
AJ293783,soil over limestone plates,NA,,NA,NA,
AJ293784,soil,NA,,NA,NA,
AJ293785,NA,NA,,NA,NA,
AJ293786,bark,NA,,NA,NA,
AJ293787,bark,NA,,NA,NA,
AJ293788,bark,NA,,NA,NA,
AJ293789,limestone,NA,,NA,NA,
AJ293790,limestone,NA,,NA,NA,
AJ293791,NA,NA,,NA,NA,
AJ293792,rocks,NA,,NA,NA,
AJ293793,bark,46°41'N / 13°29'E ,,46.6833333,13.4833333,LL from Helms (2003)
AJ293794,rocks,60°15'N / 25°24'E ,,60.25,25.4,LL from Helms (2003)
AJ293795,window,NA,substrate information from UTEX (culture UTEX 784),NA,NA,