Site,AITS_Lasallia,AITS_Umbilicaria,Coords,Lat,Long
Forsand ,KU900251,KU900266,"58°54'14""N, 6°8'37""E ",58.9038889,6.1436111
Drøbak ,KU900252,KU900267,"59°38'46""N, 10°38'5""E ",59.6461111,10.6347222
Drøbak ,KU900253,KU900268,"59°38'46""N, 10°38'5""E ",59.6461111,10.6347222
Drøbak ,KU900254,KU900275,"59°38'46""N, 10°38'5""E ",59.6461111,10.6347222
Hvaler ,KU900276,KU900277,"59°9'9""N, 10°56'53""E ",59.1525,10.9480556
Hvaler ,KU900255,KU900269,"59°9'9""N, 10°56'53""E ",59.1525,10.9480556
Hvaler ,KU900256,KU900270,"59°9'9""N, 10°56'53""E ",59.1525,10.9480556
Hvaler ,KU900257,KU900279,"59°9'9""N, 10°56'53""E ",59.1525,10.9480556
Hvaler ,KU900258,KU900280,"59°9'9""N, 10°56'53""E ",59.1525,10.9480556
Flekkefjord ,KU900281,KU900282,"58°15'54""N, 6°34'48""E ",58.265,6.58
Flekkefjord ,KU900273,KU900283,"58°15'54""N, 6°34'48""E ",58.265,6.58
Flekkefjord ,KU900259,KU900278,"58°15'54""N, 6°34'48""E ",58.265,6.58
Flekkefjord ,KU900260,KU900284,"58°15'54""N, 6°34'48""E ",58.265,6.58
Flekkefjord ,KU900274,KU900288,"58°15'54""N, 6°34'48""E ",58.265,6.58
Nøtterøy ,KU900261,KU900285,"59°10'0""N, 10°26'26""E ",59.1666667,10.4405556
Nøtterøy ,KU900262,KU900271,"59°10'0""N, 10°26'26""E ",59.1666667,10.4405556
Nøtterøy ,KU900263,KU900286,"59°10'0""N, 10°26'26""E ",59.1666667,10.4405556
Nøtterøy ,KU900264,KU900272,"59°10'0""N, 10°26'26""E ",59.1666667,10.4405556
Nøtterøy ,KU900265,KU900287,"59°10'0""N, 10°26'26""E ",59.1666667,10.4405556