Acc,Substrate
AF389917,bark
AF389916,bark
AF453259,bark
AJ249482,bark
AJ007387,bark
AJ970889,bark
AF344177,ground
AF344176,ground
AF344175,ground
AF345889,ground
AJ249565,ground
AB177835,bark
AB177833,bark
AB177828,bark
AB177825,bark
AB177819,bark
AJ969549,bark
AJ969597,bark
AJ969594,bark
AJ969556,bark
AJ969598,bark
AJ969545,bark
AJ969562,bark
AJ249567,
AJ249575,bark
AJ249568,bark
Z68698,
Z68697,
AF242468,bark
AJ249577,bark
AJ249574,
AF389918,ground
AF389931,bark
AF389930,bark
AF389927,bark
AF389926,bark
JN204759,ground
JN204761,ground
JN204778,ground
JN204800,ground
AM920667,ground
AJ293795,ground
FJ792801,ground
AM920666,ground
JN204767,ground
JN204768,ground
JN204793,ground
JN204809,ground
GQ375319,ground
GQ375320,ground
GQ375323,ground
GQ375355,ground
GQ375338,ground
GQ375363,ground
AF242460,bark
AF242463,bark
AF242464,bark
AF242470,bark
FJ626734,
DQ166600,ground
DQ166620,ground
EU551513,ground
EU551512,ground
EU551541,ground
EU551542,ground
EU551543,ground
FJ626736,
AJ249573,
Z68702,
JN204749,ground
JN204771,ground
JN204811,ground
JN204812,ground
JN204735,ground
JN204756,ground
JN204772,ground
JN204776,ground
JN204777,ground
JN204779,ground
JN204782,ground
JN204790,ground
JN204765,ground
JN204747,ground
JN204826,ground
JN204841,ground
DQ166595,ground
DQ166611,ground
FM945345,ground
JX474334,ground
JX474349,ground
JX474357,ground
JX036166,ground
JX036180,ground
JX036194,ground
JX036210,ground
JX036208,ground
JX036273,ground
JX036217,ground
JX036168,ground
JX036240,ground
JX036211,ground
JX036160,ground
JX036213,ground
JX036272,ground
JX036231,ground
JX036259,ground
GU252178,bark
GU252173,bark
GU252195,bark
GU252202,bark
FJ792799,bark
DQ166608,ground
EU551525,ground
EU551527,ground
EU551546,ground
EU551547,ground
EU551536,ground
GU252182,bark
GU252197,bark
GU252200,bark
EU551508,ground
EU551523,ground
AF534386,ground
DQ166610,ground
DQ166587,ground
DQ166584,ground
AM159216,ground
HQ026180,ground
HQ026178,ground
HQ026182,ground
HQ026167,ground
HQ026171,ground
DQ166603,ground
DQ133476,ground
DQ133500,ground
DQ133481,ground
JN204760,ground
AJ293782,ground
FJ792797,bark
AM159210,bark
AJ293784,ground
JN204764,bark
AM159213,bark
AJ293787,bark
FJ792802,bark
AJ293790,ground
AJ293773,bark
AJ293771,bark
AJ293793,bark
AJ293775,bark
AJ431579,ground
AJ431577,ground
AJ431591,ground
AJ431578,ground
AJ293791,ground
AJ293789,ground
AJ293783,ground
KF026223,ground
KF026233,ground
KF026242,ground
KF026251,ground
KF026276,ground
KF026225,ground
KF026226,ground
KF026231,ground
KF026236,ground
KF026237,ground
KF026238,ground
KF026241,ground
KF026245,ground
KF026248,ground
KF026249,ground
KF026252,ground
KF026255,ground
KF026274,ground
KF026278,ground
EU717912,ground
EU717913,ground