DNA,Algae,Fungi,Collection,Original,Lat,Long
T1,EU715034,EU714413 ,"Talbot KIS 131, Alaska, U.S.A.","51˚ 58.703’N, 177˚ 32.391’E",51.9783833,177.53985
T4,EU715035,EU714416 ,"Talbot KIS 165 (1), Alaska, U.S.A. ","51˚ 58.703’N, 177˚ 32.391’E",51.9783833,177.53985
T5,EU715036,,"Talbot 271, Alaska, U.S.A.",,,
T13,EU715037,,"Talbot NIZ5B-25, Alaska, U.S.A. ","54˚ 44.531’N, 173˚ 58.270’E",54.7421833,173.9711667
T15,EU715038,,"Talbot KIS518, Alaska, U.S.A.","51 58.148 N, 177 31.686 E",51.9691333,177.5281
T18,EU715039,,"Talbot OGA1D-17, Alaska, U.S.A. ","53˚ 27.097’N, 166˚ 52.266’W",53.4516167,-166.8711
T19,EU715040,,"Talbot RAT1A-12, Alaska, U.S.A. ","51˚ 46.585’N, 178˚ 21.724’E",51.7764167,178.3620667
T31,EU715041,,"Nelsen 3980, Troms, Norway","68° 31' 40.8""N, 16° 33' 20.6""E",68.528,16.5557222
T32,EU715042,,"Nelsen 3981, Troms, Norway","68° 31' 40.8""N, 16° 33' 20.6""E",68.528,16.5557222
TS10,EU715043,,"Nelsen 2291, Yunnan, China","26° 37' 50.2""N, 99° 42' 42.8""E",26.6306111,99.7118889
TS11,EU715044,,"Nelsen 2294, Yunnan, China","26° 37' 50.2""N, 99° 42' 42.8""E",26.6306111,99.7118889
TS12,EU715045,,"Nelsen 2292, Yunnan, China","26° 37' 50.2""N, 99° 42' 42.8""E",26.6306111,99.7118889
T3,EU715046,EU714415 ,"Talbot KIS 165 (1), Alaska, U.S.A. ","51˚ 58.703’N, 177˚ 32.391’E",51.9783833,177.53985
T7,EU715047,,"Talbot & Schofield 390, Alaska, U.S.A. ","63 41.899 N, 142 15.248 W",63.6983167,-142.2541333
T8,EU715048,,"Talbot KIS 161a, Alaska, U.S.A. ","51˚ 58.703’N, 177˚ 32.391’E",51.9783833,177.53985
T10,EU715049,,"Talbot ADU3B-X-10, Alaska, U.S.A. ","52˚ 54.405’N, 169˚ 09.797’W",52.90675,-169.1632833
T11,EU715050,,"Talbot CHA1C-101, Alaska, U.S.A. ","52˚ 33.839’N, 171˚ 09.722’W",52.5639833,-171.1620333
T20,EU715051,,"Talbot TAG1E-33, Alaska, U.S.A. ","51 57.669 N, 176 00.201 W",51.96115,-176.00335
T23,EU715052,,"Talbot KAV2A-08, Alaska, U.S.A. ","51 34.239 N, 178 50.030 W",51.57065,-178.8338333
T25,EU715053,,"Talbot LKI1A-11, Alaska, U.S.A. ","51˚ 57.634’N, 177˚ 37.463’E",51.9605667,177.6243833
T29,EU715054,,"Talbot Selawik 7, Alaska, U.S.A. ","66 28' 19"" N, 157 11' 43""W",66.4719444,-157.1952778
T30,EU715055,,"Talbot Selawik 291, Alaska, U.S.A. ","66 12' 23.6""N, 160 15' 01.9""W",66.2065556,-160.2505278
TV13,EU715056,,"Nelsen 3635, San Jose ́ , Costa Rica ","9° 33' N, 83° 45' W",9.55,-83.75
TV14,EU715057,,"Nelsen 3636B, San Jose ́ , Costa Rica ","9° 33' N, 83° 45' W",9.55,-83.75
TV15,EU715058,,"Nelsen 3630, San Jose ́ , Costa Rica ",,9.55,-83.75
TV16,EU715059,,"Nelsen 2291, Yunnan, China","26° 37' 50.2""N, 99° 42' 42.8""E",26.6306111,99.7118889
TV17,EU715060,,"Nelsen 2292, Yunnan, China","26° 37' 50.2""N, 99° 42' 42.8""E",26.6306111,99.7118889
TV18,EU715061,,"Nelsen 2413, Yunnan, China ","25° 41 '06""N, 100° 06 '07""E",25.685,100.1019444