Haplotype,PutSp,Locality,Acc,Lat,Long
1,1,"Czech Republic, S. Bohemia, Cesky Krumlov, Kaplice, 785 m, lat. 48.753333, long. 14.606667, leg. Palice, 15.08. 2012 (FR)",KJ623927,48.753333,14.606667
2,1,"Slovakia, Tribeč Mts, Zobor Mts: Nitra, 546 m, lat. 48.337255, long. 18.10623, leg. Guttova, 27.07.2011 (FR)",KJ623928,48.337255,18.10623
3,1,"Norway, Vestfold, Larvik, Stavern, 20m, lat. 58.983333, long. 10.03333, leg. Rui, Timdal, 2.04.2011 (O)",KJ623929,58.983333,10.03333
4,1,"Poland, Lower Silesia, Sobieszów, Chojnik Hill, 530 m, lat. 50.83333, long. 15.63333, leg. Sadowska-Deś, 23.06.2011 (FR)",KJ623930,50.83333,15.63333
5,2,"Poland, Lower Silesia, Sobieszów, Chojnik Castle, 530 m, lat. 50.833725, long. 15.644181, leg. Sadowska-Deś, 29.08.2011 (FR)",KJ623931,50.833725,15.644181
6,2,"Germany, Hesse, Eppstein, 342 m, lat. 50.13949, long. 8.40439, leg. Sadowska-Deś, Nuñez Zapata, Schmitt, 26.05.2011 (FR)",KJ623932,50.13949,8.40439
7,2,"Poland, Lower Silesia, Sobieszów, Zbójeckie Skały, 600 m, lat. 51.0244444, long. 15.904444, leg. Sadowska-Deś, 23.06.2011 (FR)",KJ623933,51.0244444,15.904444
8,2,"Germany, Saxony, Anhalt, Bodetal, Rosstrappe, 403 m, lat. 51.735064, long. 11.246982, leg. Sadowska-Deś, 13.08.2011 (FR)",KJ623934,51.735064,11.246982
9,3,"Poland, Lower Silesia, Sobieszów, Chojnik Hill, 530 m, lat. 50.83333, long. 15.63333, leg. Sadowska-Deś, 23.06.2011 (FR)",KJ623935,50.83333,15.63333
10,4a,"Italy, Sardinia, Olbia, San Pantaleo, 100m, lat. 41.046111, long.  9.446111, leg. Vondrak, 30.04.2012 (FR)",KJ623936,41.046111,9.446111
11,4a,"Germany, Saarland, Orscholz, 300 m, lat. 49.500876, long. 6.542163, leg. Sadowska-Deś, John, Nuñez Zapata, Schmitt, 17.06.2011 (FR)",KJ623937,49.500876,6.542163
12,4a,"Spain, Toledo, Aldeanueva de Barbarrolla, 550m, lat. 39.755000, long.  -5.069756, leg. Pino Bodas, 22.01.2012 (FR)",KJ623938,39.755,-5.069756
13,4b,"Slovakia, Mala Fatra Mts., Varin Nezdubska Lucka, 459m, lat. 49.178186, long. 18.892347, leg. Guttova, 13.08.2011(FR)",KJ623939,49.178186,18.892347
14,4b,"Germany, Hesse, Eppstein, 342 m, lat. 50.13949, long. 8.40439, leg. Sadowska-Deś, Nuñez Zapata, Schmitt, 26.05.2011 (FR)",KJ623940,50.13949,8.40439
15,4b,"Norway, Hedmark, Ringsaker: Mjøsstranda, 123m, lat. 60.910672, long. 10.737576, leg. Breili, Anders, 0605.2007, L 158696 (O) ",KJ623941,60.910672,10.737576
16,4b,"Hungary, Pest District, Kamence, Borzsony Mts, Nagy- Mána, 695m, lat. 46.09083333, long. 18.13305556, leg. Farkas, Lőkös, Molnár, 07.05.2011 (Farkas-346)",KJ623942,46.09083333,18.13305556
17,4c,"Portugal, Serra da Estrela. Subida a Torre, 1300m, alt. 40.296389, long.  -7.536111, leg. Vivas Rebuelta, 26.03.2009 (FR)",KJ623943,40.296389,-7.536111
18,4c,"Greece,W Aegean,Nomos Evvias, 1370m, long. 38.051389, lat. 24.452500, leg. Sipman, Raus, 26.09.2010 (B)",KJ623944,38.051389,24.4525
19,4c,"Norway, Akershus Ski: Nord Bjørke, 110m, lat. 60.062922, long. 11.375427, leg. Haugan 18.06.2006, L150858 (O)",KJ623945,60.062922,11.375427
20,4c,"Norway, Oppland, Vågå: ussvassbue, 1185m, lat. 61.11926, long. 10.466137, leg. Haugan, 24.06.2008, L160450 (O)",KJ623946,61.11926,10.466137
21,4c,"Norway, Asmaløy, Hvaler, 2m, long. 59.13271, lat. 10.92875, leg Singh, Dal Grande, 15.08.2012 (FR)",KJ623947,59.13271,10.92875
22,4c,"Norway, Rogland, Vindafjord: Saltvika, 1m, lat. 59.301234, long. 5.985718, leg. Breili, Anders, 02.09.2008, L155335 (O)",KJ623948,59.301234,5.985718
OUT1,-,"Anaptychia cilicaris, Norway, 1890 Rakkestad, 110m, lat. 59.41096, long. 11.36843, leg. Singh, Dal Grande, 15.08.2012 (FR)",KJ623949,59.41096,11.36843
OUT2,-,"Anaptychia cilicaris, Norway, 1890 Rakkestad, 110m, lat. 59.41096, long. 11.36843, leg. Singh, Dal Grande, 15.08.2012 (FR)",KJ623950,59.41096,11.36843