Sample,Mycobiont,Mhap,PbSp,Phap,Elev,Voucher,Macc,Aacc,Substrate
RV001,Caloplaca orthoclada,M1a,Trebouxia arbor'ıcola,P1i,650,RV 2047; M-0102498,JQ993800,JQ993758,rock
RV002,Caloplaca orthoclada,M1b,Trebouxia decolorans.,P2a,450,RV 1939; M-0102499,JQ993801,JQ993759,rock
RV003,Caloplaca orthoclada,M1b,Trebouxia arboricola,P1 m,450,RV 1941; M-0102500,JQ993802,JQ993760,rock
RV004,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1u,450,RV 1942; M-0102501,JQ993803,JQ993761,rock
RV005,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1j,450,RV 1943; M-0102502,JQ993804,JQ993762,rock
RV006,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1 m,450,RV 1944; M-0102503,JQ993805,JQ993763,rock
RV007,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1 k,450,RV 1945B; M-0102504,JQ993806,JQ993764,rock
RV008,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1 k,450,RV 1948; M-0102505,JQ993807,JQ993765,rock
RV009,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1v,550,RV 1958; M-1012506,JQ993808,JQ993766,rock
RV010,Caloplaca orthoclada,M1b,Trebouxia arboricola,P1l,550,RV 1962; M-1012507,JQ993809,JQ993767,rock
RV011,Caloplaca sp.1,M2a,Trebouxia decolorans,P2b,550,RV 1968; M-1012508,JQ993810,JQ993768,epiphyte
RV012,Caloplaca sp.2,M3a,Trebouxia arboricola,P1l,550,RV 1974; M-1012509,JQ993811,JQ993769,rock
RV013,Caloplaca sp.2,M3a,Trebouxia arboricola,P1u,550,RV 1982; M-1012510,JQ993812,JQ993770,rock
RV014,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1o,600,RV 1986; M-1012511,JQ993813,JQ993771,rock
RV015,Caloplaca orthoclada,M1b,Trebouxia gigantea,P3a,600,RV 1987; M-1012512,JQ993814,JQ993772,rock
RV016,Caloplaca orthoclada,M1b,Trebouxia arboricola,P1o,600,RV 1987; M-1012513,JQ993815,JQ993773,rock
RV017,Caloplaca sp.1,M2a,Trebouxia arboricola,P1 n,600,RV 2006; M-1012514,JQ993816,JQ993774,epiphyte
RV018,Caloplaca sp.3,M3a,Trebouxia arboricola,P1x,600,RV 2010; M-1012515,JQ993817,JQ993775,soil
RV019,Caloplaca sp.1,M2a,Trebouxia arboricola,P1x,600,RV 2011; M-1012516,JQ993818,JQ993776,epiphyte
RV020,Caloplaca sp.1,M2a,Trebouxia decolorans,P2a,600,RV 2017; M-1012517,JQ993819,JQ993777,epiphyte
RV021,Caloplaca sp.1,M2a,Trebouxia arboricola,P1w,600,RV 2020; M-1012518,JQ993820,JQ993778,epiphyte
RV022,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1c,650,RV 2027; M-1012519,JQ993821,JQ993779,rock
RV023,Caloplaca orthoclada,M1a,Trebouxia arboricola,P1c,650,RV 2032; M-1012520,JQ993822,JQ993780,rock
RV024,Caloplaca sp.1,M2a,Trebouxia arboricola,P1 p,650,RV 2036; M-1012521,JQ993823,JQ993781,epiphyte
RV025,Caloplaca orthoclada,M2b,Trebouxia gigantea,P3b,650,RV 2040; M-1012522,JQ993824,JQ993782,rock
RV026,Caloplaca sp.1,M2a,Trebouxia gigantea,P3b,650,RV 2042; M-1012523,JQ993825,JQ993783,epiphyte
RV027,Caloplaca sp.1,M2a,Trebouxia arboricola,P1r,650,RV 2048; M-1012524,JQ993826,JQ993784,epiphyte
RV028,Caloplaca sp.1,M2b,Trebouxia arboricola,P1a,650,RV 2056; M-1012525,JQ993827,JQ993785,epiphyte
RV029,Caloplaca sp.4,M4b,Trebouxia arboricola,P1b,700,RV 2076; M-1012526,JQ993828,JQ993786,soil
RV030,Caloplaca sp.4,M4c,Trebouxia arboricola,P1 t,700,RV 2078; M-1012527,JQ993829,JQ993787,soil
RV031,Caloplaca sp.1,M2a,Trebouxia arboricola,P1q,700,RV 2080; M-1012528,JQ993830,JQ993788,epiphyte
RV032,Caloplaca sp.4,M4a,Trebouxia arboricola,P1d,750,RV 2101; M-1012529,JQ993831,JQ993789,soil
RV033,Caloplaca sp.4,M4a,Trebouxia arboricola,P1f,750,RV 2103; M-1012530,JQ993832,JQ993790,soil
RV034,Caloplaca sp.3,M5a,Trebouxia arboricola,P1f,750,RV 2106; M-1012531,JQ993833,JQ993791,soil
RV035,Caloplaca sp.4,M4a,Trebouxia arboricola,P1d,750,RV 2127; M-1012532,JQ993834,JQ993792,soil
RV036,Caloplaca sp.4,M4a,Trebouxia arboricola,P1e,750,RV 2144; M-1012533,JQ993835,JQ993793,soil
RV037,Caloplaca sp.4,M4d,Trebouxia arboricola,P1y,600,RV 2188; M-1012534,JQ993836,JQ993794,soil
RV038,Caloplaca sp.3,M5a,Trebouxia arboricola,P1s,650,RV 2217; M-1012535,JQ993837,JQ993795,soil
RV039,Caloplaca sp.3,M5b,Trebouxia arboricola,P1s,650,RV 2242; M-1012536,JQ993838,JQ993796,soil
RV040,Caloplaca orthoclada,M1c,Trebouxia arboricola,P1 h,750,RV 2401b;  M-1012537,JQ993839,JQ993797,rock
RV041,Caloplaca orthoclada,M1c,Trebouxia arboricola,P1 h,750,RV 2401a; M-1012538,JQ993840,JQ993798,rock
RV042,Caloplaca fernandeziana,M6a,Trebouxia arboricola,P1 g,750,RV 2415; M-1012539,JQ993841,JQ993799,rock